source_path,quality_class,split,output_path,confidence,selected_bbox,padded_bbox,status,message
C:\Python\Projects\PytorchTest\casting_512x512\ok_front\cast_ok_0_3868.jpeg,good,train,,,,,no_detection,No inspected_object detection
C:\Python\Projects\PytorchTest\casting_512x512\ok_front\cast_ok_0_9232.jpeg,good,train,,,,,no_detection,No inspected_object detection
C:\Python\Projects\PytorchTest\casting_512x512\ok_front\cast_ok_0_1780.jpeg,good,train,,,,,no_detection,No inspected_object detection
C:\Python\Projects\PytorchTest\casting_512x512\ok_front\cast_ok_0_1755.jpeg,good,train,,,,,no_detection,No inspected_object detection
C:\Python\Projects\PytorchTest\casting_512x512\ok_front\cast_ok_0_1392.jpeg,good,train,,,,,no_detection,No inspected_object detection
C:\Python\Projects\PytorchTest\casting_512x512\ok_front\cast_ok_0_35.jpeg,good,train,,,,,no_detection,No inspected_object detection
C:\Python\Projects\PytorchTest\casting_512x512\ok_front\cast_ok_0_2271.jpeg,good,train,,,,,no_detection,No inspected_object detection
C:\Python\Projects\PytorchTest\casting_512x512\ok_front\cast_ok_0_2208.jpeg,good,train,,,,,no_detection,No inspected_object detection
C:\Python\Projects\PytorchTest\casting_512x512\ok_front\cast_ok_0_3181.jpeg,good,train,,,,,no_detection,No inspected_object detection
C:\Python\Projects\PytorchTest\casting_512x512\ok_front\cast_ok_0_3812.jpeg,good,train,,,,,no_detection,No inspected_object detection
C:\Python\Projects\PytorchTest\casting_512x512\ok_front\cast_ok_0_196.jpeg,good,train,,,,,no_detection,No inspected_object detection
C:\Python\Projects\PytorchTest\casting_512x512\ok_front\cast_ok_0_4059.jpeg,good,train,,,,,no_detection,No inspected_object detection
C:\Python\Projects\PytorchTest\casting_512x512\ok_front\cast_ok_0_3846.jpeg,good,train,,,,,no_detection,No inspected_object detection
C:\Python\Projects\PytorchTest\casting_512x512\ok_front\cast_ok_0_7831.jpeg,good,train,,,,,no_detection,No inspected_object detection
C:\Python\Projects\PytorchTest\casting_512x512\ok_front\cast_ok_0_5326.jpeg,good,train,,,,,no_detection,No inspected_object detection
C:\Python\Projects\PytorchTest\casting_512x512\ok_front\cast_ok_0_9224.jpeg,good,train,,,,,no_detection,No inspected_object detection
C:\Python\Projects\PytorchTest\casting_512x512\ok_front\cast_ok_0_6679.jpeg,good,train,,,,,no_detection,No inspected_object detection
C:\Python\Projects\PytorchTest\casting_512x512\ok_front\cast_ok_0_6880.jpeg,good,train,,,,,no_detection,No inspected_object detection
C:\Python\Projects\PytorchTest\casting_512x512\ok_front\cast_ok_0_8566.jpeg,good,train,,,,,no_detection,No inspected_object detection
C:\Python\Projects\PytorchTest\casting_512x512\ok_front\cast_ok_0_4799.jpeg,good,train,,,,,no_detection,No inspected_object detection
C:\Python\Projects\PytorchTest\casting_512x512\ok_front\cast_ok_0_8726.jpeg,good,train,,,,,no_detection,No inspected_object detection
C:\Python\Projects\PytorchTest\casting_512x512\ok_front\cast_ok_0_6477.jpeg,good,train,,,,,no_detection,No inspected_object detection
C:\Python\Projects\PytorchTest\casting_512x512\ok_front\cast_ok_0_9112.jpeg,good,train,,,,,no_detection,No inspected_object detection
C:\Python\Projects\PytorchTest\casting_512x512\ok_front\cast_ok_0_3337.jpeg,good,train,,,,,no_detection,No inspected_object detection
C:\Python\Projects\PytorchTest\casting_512x512\ok_front\cast_ok_0_8002.jpeg,good,train,,,,,no_detection,No inspected_object detection
C:\Python\Projects\PytorchTest\casting_512x512\ok_front\cast_ok_0_1933.jpeg,good,train,,,,,no_detection,No inspected_object detection
C:\Python\Projects\PytorchTest\casting_512x512\ok_front\cast_ok_0_2060.jpeg,good,train,,,,,no_detection,No inspected_object detection
C:\Python\Projects\PytorchTest\casting_512x512\ok_front\cast_ok_0_6529.jpeg,good,train,,,,,no_detection,No inspected_object detection
C:\Python\Projects\PytorchTest\casting_512x512\ok_front\cast_ok_0_5573.jpeg,good,train,,,,,no_detection,No inspected_object detection
C:\Python\Projects\PytorchTest\casting_512x512\ok_front\cast_ok_0_431.jpeg,good,train,,,,,no_detection,No inspected_object detection
C:\Python\Projects\PytorchTest\casting_512x512\ok_front\cast_ok_0_4496.jpeg,good,train,,,,,no_detection,No inspected_object detection
C:\Python\Projects\PytorchTest\casting_512x512\ok_front\cast_ok_0_8278.jpeg,good,train,,,,,no_detection,No inspected_object detection
C:\Python\Projects\PytorchTest\casting_512x512\ok_front\cast_ok_0_7195.jpeg,good,train,,,,,no_detection,No inspected_object detection
C:\Python\Projects\PytorchTest\casting_512x512\ok_front\cast_ok_0_4201.jpeg,good,train,,,,,no_detection,No inspected_object detection
C:\Python\Projects\PytorchTest\casting_512x512\ok_front\cast_ok_0_3973.jpeg,good,train,,,,,no_detection,No inspected_object detection
C:\Python\Projects\PytorchTest\casting_512x512\ok_front\cast_ok_0_1082.jpeg,good,train,,,,,no_detection,No inspected_object detection
C:\Python\Projects\PytorchTest\casting_512x512\ok_front\cast_ok_0_6149.jpeg,good,train,,,,,no_detection,No inspected_object detection
C:\Python\Projects\PytorchTest\casting_512x512\ok_front\cast_ok_0_6055.jpeg,good,train,,,,,no_detection,No inspected_object detection
C:\Python\Projects\PytorchTest\casting_512x512\ok_front\cast_ok_0_6537.jpeg,good,train,,,,,no_detection,No inspected_object detection
C:\Python\Projects\PytorchTest\casting_512x512\ok_front\cast_ok_0_8388.jpeg,good,train,,,,,no_detection,No inspected_object detection
C:\Python\Projects\PytorchTest\casting_512x512\ok_front\cast_ok_0_9395.jpeg,good,train,,,,,no_detection,No inspected_object detection
C:\Python\Projects\PytorchTest\casting_512x512\ok_front\cast_ok_0_6922.jpeg,good,train,,,,,no_detection,No inspected_object detection
C:\Python\Projects\PytorchTest\casting_512x512\ok_front\cast_ok_0_2622.jpeg,good,train,,,,,no_detection,No inspected_object detection
C:\Python\Projects\PytorchTest\casting_512x512\ok_front\cast_ok_0_2746.jpeg,good,train,,,,,no_detection,No inspected_object detection
C:\Python\Projects\PytorchTest\casting_512x512\ok_front\cast_ok_0_7573.jpeg,good,train,,,,,no_detection,No inspected_object detection
C:\Python\Projects\PytorchTest\casting_512x512\ok_front\cast_ok_0_6189.jpeg,good,train,,,,,no_detection,No inspected_object detection
C:\Python\Projects\PytorchTest\casting_512x512\ok_front\cast_ok_0_9150.jpeg,good,train,,,,,no_detection,No inspected_object detection
C:\Python\Projects\PytorchTest\casting_512x512\ok_front\cast_ok_0_2505.jpeg,good,train,,,,,no_detection,No inspected_object detection
C:\Python\Projects\PytorchTest\casting_512x512\ok_front\cast_ok_0_7561.jpeg,good,train,,,,,no_detection,No inspected_object detection
C:\Python\Projects\PytorchTest\casting_512x512\ok_front\cast_ok_0_4961.jpeg,good,train,,,,,no_detection,No inspected_object detection
C:\Python\Projects\PytorchTest\casting_512x512\ok_front\cast_ok_0_6295.jpeg,good,train,,,,,no_detection,No inspected_object detection
C:\Python\Projects\PytorchTest\casting_512x512\ok_front\cast_ok_0_8076.jpeg,good,train,,,,,no_detection,No inspected_object detection
C:\Python\Projects\PytorchTest\casting_512x512\ok_front\cast_ok_0_904.jpeg,good,train,,,,,no_detection,No inspected_object detection
C:\Python\Projects\PytorchTest\casting_512x512\ok_front\cast_ok_0_7072.jpeg,good,train,,,,,no_detection,No inspected_object detection
C:\Python\Projects\PytorchTest\casting_512x512\ok_front\cast_ok_0_8153.jpeg,good,train,,,,,no_detection,No inspected_object detection
C:\Python\Projects\PytorchTest\casting_512x512\ok_front\cast_ok_0_1187.jpeg,good,train,,,,,no_detection,No inspected_object detection
C:\Python\Projects\PytorchTest\casting_512x512\ok_front\cast_ok_0_1091.jpeg,good,train,,,,,no_detection,No inspected_object detection
C:\Python\Projects\PytorchTest\casting_512x512\ok_front\cast_ok_0_8067.jpeg,good,train,,,,,no_detection,No inspected_object detection
C:\Python\Projects\PytorchTest\casting_512x512\ok_front\cast_ok_0_601.jpeg,good,train,,,,,no_detection,No inspected_object detection
C:\Python\Projects\PytorchTest\casting_512x512\ok_front\cast_ok_0_9277.jpeg,good,train,,,,,no_detection,No inspected_object detection
C:\Python\Projects\PytorchTest\casting_512x512\ok_front\cast_ok_0_5687.jpeg,good,train,,,,,no_detection,No inspected_object detection
C:\Python\Projects\PytorchTest\casting_512x512\ok_front\cast_ok_0_7271.jpeg,good,train,,,,,no_detection,No inspected_object detection
C:\Python\Projects\PytorchTest\casting_512x512\ok_front\cast_ok_0_821.jpeg,good,train,,,,,no_detection,No inspected_object detection
C:\Python\Projects\PytorchTest\casting_512x512\ok_front\cast_ok_0_2697.jpeg,good,train,,,,,no_detection,No inspected_object detection
C:\Python\Projects\PytorchTest\casting_512x512\ok_front\cast_ok_0_9136.jpeg,good,train,,,,,no_detection,No inspected_object detection
C:\Python\Projects\PytorchTest\casting_512x512\ok_front\cast_ok_0_688.jpeg,good,train,,,,,no_detection,No inspected_object detection
C:\Python\Projects\PytorchTest\casting_512x512\ok_front\cast_ok_0_1559.jpeg,good,train,,,,,no_detection,No inspected_object detection
C:\Python\Projects\PytorchTest\casting_512x512\ok_front\cast_ok_0_2301.jpeg,good,train,,,,,no_detection,No inspected_object detection
C:\Python\Projects\PytorchTest\casting_512x512\ok_front\cast_ok_0_8208.jpeg,good,train,,,,,no_detection,No inspected_object detection
C:\Python\Projects\PytorchTest\casting_512x512\ok_front\cast_ok_0_6235.jpeg,good,train,,,,,no_detection,No inspected_object detection
C:\Python\Projects\PytorchTest\casting_512x512\ok_front\cast_ok_0_9843.jpeg,good,train,,,,,no_detection,No inspected_object detection
C:\Python\Projects\PytorchTest\casting_512x512\ok_front\cast_ok_0_9367.jpeg,good,train,,,,,no_detection,No inspected_object detection
C:\Python\Projects\PytorchTest\casting_512x512\ok_front\cast_ok_0_2614.jpeg,good,train,,,,,no_detection,No inspected_object detection
C:\Python\Projects\PytorchTest\casting_512x512\ok_front\cast_ok_0_968.jpeg,good,train,,,,,no_detection,No inspected_object detection
C:\Python\Projects\PytorchTest\casting_512x512\ok_front\cast_ok_0_7021.jpeg,good,train,,,,,no_detection,No inspected_object detection
C:\Python\Projects\PytorchTest\casting_512x512\ok_front\cast_ok_0_3596.jpeg,good,train,,,,,no_detection,No inspected_object detection
C:\Python\Projects\PytorchTest\casting_512x512\ok_front\cast_ok_0_3138.jpeg,good,train,,,,,no_detection,No inspected_object detection
C:\Python\Projects\PytorchTest\casting_512x512\ok_front\cast_ok_0_7366.jpeg,good,train,,,,,no_detection,No inspected_object detection
C:\Python\Projects\PytorchTest\casting_512x512\ok_front\cast_ok_0_9393.jpeg,good,train,,,,,no_detection,No inspected_object detection
C:\Python\Projects\PytorchTest\casting_512x512\ok_front\cast_ok_0_4437.jpeg,good,train,,,,,no_detection,No inspected_object detection
C:\Python\Projects\PytorchTest\casting_512x512\ok_front\cast_ok_0_7419.jpeg,good,train,,,,,no_detection,No inspected_object detection
C:\Python\Projects\PytorchTest\casting_512x512\ok_front\cast_ok_0_4742.jpeg,good,train,,,,,no_detection,No inspected_object detection
C:\Python\Projects\PytorchTest\casting_512x512\ok_front\cast_ok_0_2456.jpeg,good,train,,,,,no_detection,No inspected_object detection
C:\Python\Projects\PytorchTest\casting_512x512\ok_front\cast_ok_0_6890.jpeg,good,train,,,,,no_detection,No inspected_object detection
C:\Python\Projects\PytorchTest\casting_512x512\ok_front\cast_ok_0_9366.jpeg,good,train,,,,,no_detection,No inspected_object detection
C:\Python\Projects\PytorchTest\casting_512x512\ok_front\cast_ok_0_8127.jpeg,good,train,,,,,no_detection,No inspected_object detection
C:\Python\Projects\PytorchTest\casting_512x512\ok_front\cast_ok_0_496.jpeg,good,train,,,,,no_detection,No inspected_object detection
C:\Python\Projects\PytorchTest\casting_512x512\ok_front\cast_ok_0_8356.jpeg,good,train,,,,,no_detection,No inspected_object detection
C:\Python\Projects\PytorchTest\casting_512x512\ok_front\cast_ok_0_1695.jpeg,good,train,,,,,no_detection,No inspected_object detection
C:\Python\Projects\PytorchTest\casting_512x512\ok_front\cast_ok_0_2525.jpeg,good,train,,,,,no_detection,No inspected_object detection
C:\Python\Projects\PytorchTest\casting_512x512\ok_front\cast_ok_0_222.jpeg,good,train,,,,,no_detection,No inspected_object detection
C:\Python\Projects\PytorchTest\casting_512x512\ok_front\cast_ok_0_277.jpeg,good,train,,,,,no_detection,No inspected_object detection
C:\Python\Projects\PytorchTest\casting_512x512\ok_front\cast_ok_0_7741.jpeg,good,train,,,,,no_detection,No inspected_object detection
C:\Python\Projects\PytorchTest\casting_512x512\ok_front\cast_ok_0_4031.jpeg,good,train,,,,,no_detection,No inspected_object detection
C:\Python\Projects\PytorchTest\casting_512x512\ok_front\cast_ok_0_2244.jpeg,good,train,,,,,no_detection,No inspected_object detection
C:\Python\Projects\PytorchTest\casting_512x512\ok_front\cast_ok_0_2605.jpeg,good,train,,,,,no_detection,No inspected_object detection
C:\Python\Projects\PytorchTest\casting_512x512\ok_front\cast_ok_0_211.jpeg,good,train,,,,,no_detection,No inspected_object detection
C:\Python\Projects\PytorchTest\casting_512x512\ok_front\cast_ok_0_3906.jpeg,good,train,,,,,no_detection,No inspected_object detection
C:\Python\Projects\PytorchTest\casting_512x512\ok_front\cast_ok_0_981.jpeg,good,train,,,,,no_detection,No inspected_object detection
C:\Python\Projects\PytorchTest\casting_512x512\ok_front\cast_ok_0_3439.jpeg,good,train,,,,,no_detection,No inspected_object detection
C:\Python\Projects\PytorchTest\casting_512x512\ok_front\cast_ok_0_3842.jpeg,good,train,,,,,no_detection,No inspected_object detection
C:\Python\Projects\PytorchTest\casting_512x512\ok_front\cast_ok_0_312.jpeg,good,train,,,,,no_detection,No inspected_object detection
C:\Python\Projects\PytorchTest\casting_512x512\ok_front\cast_ok_0_4691.jpeg,good,train,,,,,no_detection,No inspected_object detection
C:\Python\Projects\PytorchTest\casting_512x512\ok_front\cast_ok_0_5148.jpeg,good,train,,,,,no_detection,No inspected_object detection
C:\Python\Projects\PytorchTest\casting_512x512\ok_front\cast_ok_0_9120.jpeg,good,train,,,,,no_detection,No inspected_object detection
C:\Python\Projects\PytorchTest\casting_512x512\ok_front\cast_ok_0_6940.jpeg,good,train,,,,,no_detection,No inspected_object detection
C:\Python\Projects\PytorchTest\casting_512x512\ok_front\cast_ok_0_3654.jpeg,good,train,,,,,no_detection,No inspected_object detection
C:\Python\Projects\PytorchTest\casting_512x512\ok_front\cast_ok_0_1028.jpeg,good,train,,,,,no_detection,No inspected_object detection
C:\Python\Projects\PytorchTest\casting_512x512\ok_front\cast_ok_0_1290.jpeg,good,train,,,,,no_detection,No inspected_object detection
C:\Python\Projects\PytorchTest\casting_512x512\ok_front\cast_ok_0_9173.jpeg,good,train,,,,,no_detection,No inspected_object detection
C:\Python\Projects\PytorchTest\casting_512x512\ok_front\cast_ok_0_5852.jpeg,good,train,,,,,no_detection,No inspected_object detection
C:\Python\Projects\PytorchTest\casting_512x512\ok_front\cast_ok_0_2295.jpeg,good,train,,,,,no_detection,No inspected_object detection
C:\Python\Projects\PytorchTest\casting_512x512\ok_front\cast_ok_0_7939.jpeg,good,train,,,,,no_detection,No inspected_object detection
C:\Python\Projects\PytorchTest\casting_512x512\ok_front\cast_ok_0_7049.jpeg,good,train,,,,,no_detection,No inspected_object detection
C:\Python\Projects\PytorchTest\casting_512x512\ok_front\cast_ok_0_7673.jpeg,good,train,,,,,no_detection,No inspected_object detection
C:\Python\Projects\PytorchTest\casting_512x512\ok_front\cast_ok_0_6092.jpeg,good,train,,,,,no_detection,No inspected_object detection
C:\Python\Projects\PytorchTest\casting_512x512\ok_front\cast_ok_0_352.jpeg,good,train,,,,,no_detection,No inspected_object detection
C:\Python\Projects\PytorchTest\casting_512x512\ok_front\cast_ok_0_9202.jpeg,good,train,,,,,no_detection,No inspected_object detection
C:\Python\Projects\PytorchTest\casting_512x512\ok_front\cast_ok_0_2162.jpeg,good,train,,,,,no_detection,No inspected_object detection
C:\Python\Projects\PytorchTest\casting_512x512\ok_front\cast_ok_0_4168.jpeg,good,train,,,,,no_detection,No inspected_object detection
C:\Python\Projects\PytorchTest\casting_512x512\ok_front\cast_ok_0_3186.jpeg,good,train,,,,,no_detection,No inspected_object detection
C:\Python\Projects\PytorchTest\casting_512x512\ok_front\cast_ok_0_3386.jpeg,good,train,,,,,no_detection,No inspected_object detection
C:\Python\Projects\PytorchTest\casting_512x512\ok_front\cast_ok_0_4082.jpeg,good,train,,,,,no_detection,No inspected_object detection
C:\Python\Projects\PytorchTest\casting_512x512\ok_front\cast_ok_0_8429.jpeg,good,train,,,,,no_detection,No inspected_object detection
C:\Python\Projects\PytorchTest\casting_512x512\ok_front\cast_ok_0_5472.jpeg,good,train,,,,,no_detection,No inspected_object detection
C:\Python\Projects\PytorchTest\casting_512x512\ok_front\cast_ok_0_3736.jpeg,good,train,,,,,no_detection,No inspected_object detection
C:\Python\Projects\PytorchTest\casting_512x512\ok_front\cast_ok_0_7151.jpeg,good,train,,,,,no_detection,No inspected_object detection
C:\Python\Projects\PytorchTest\casting_512x512\ok_front\cast_ok_0_8996.jpeg,good,train,,,,,no_detection,No inspected_object detection
C:\Python\Projects\PytorchTest\casting_512x512\ok_front\cast_ok_0_8776.jpeg,good,train,,,,,no_detection,No inspected_object detection
C:\Python\Projects\PytorchTest\casting_512x512\ok_front\cast_ok_0_5003.jpeg,good,train,,,,,no_detection,No inspected_object detection
C:\Python\Projects\PytorchTest\casting_512x512\ok_front\cast_ok_0_3402.jpeg,good,train,,,,,no_detection,No inspected_object detection
C:\Python\Projects\PytorchTest\casting_512x512\ok_front\cast_ok_0_5853.jpeg,good,train,,,,,no_detection,No inspected_object detection
C:\Python\Projects\PytorchTest\casting_512x512\ok_front\cast_ok_0_5339.jpeg,good,train,,,,,no_detection,No inspected_object detection
C:\Python\Projects\PytorchTest\casting_512x512\ok_front\cast_ok_0_4855.jpeg,good,train,,,,,no_detection,No inspected_object detection
C:\Python\Projects\PytorchTest\casting_512x512\ok_front\cast_ok_0_3966.jpeg,good,train,,,,,no_detection,No inspected_object detection
C:\Python\Projects\PytorchTest\casting_512x512\ok_front\cast_ok_0_9516.jpeg,good,train,,,,,no_detection,No inspected_object detection
C:\Python\Projects\PytorchTest\casting_512x512\ok_front\cast_ok_0_129.jpeg,good,train,,,,,no_detection,No inspected_object detection
C:\Python\Projects\PytorchTest\casting_512x512\ok_front\cast_ok_0_9201.jpeg,good,train,,,,,no_detection,No inspected_object detection
C:\Python\Projects\PytorchTest\casting_512x512\ok_front\cast_ok_0_1362.jpeg,good,train,,,,,no_detection,No inspected_object detection
C:\Python\Projects\PytorchTest\casting_512x512\ok_front\cast_ok_0_3136.jpeg,good,train,,,,,no_detection,No inspected_object detection
C:\Python\Projects\PytorchTest\casting_512x512\ok_front\cast_ok_0_9658.jpeg,good,train,,,,,no_detection,No inspected_object detection
C:\Python\Projects\PytorchTest\casting_512x512\ok_front\cast_ok_0_6424.jpeg,good,train,,,,,no_detection,No inspected_object detection
C:\Python\Projects\PytorchTest\casting_512x512\ok_front\cast_ok_0_6258.jpeg,good,train,,,,,no_detection,No inspected_object detection
C:\Python\Projects\PytorchTest\casting_512x512\ok_front\cast_ok_0_7156.jpeg,good,train,,,,,no_detection,No inspected_object detection
C:\Python\Projects\PytorchTest\casting_512x512\ok_front\cast_ok_0_6474.jpeg,good,train,,,,,no_detection,No inspected_object detection
C:\Python\Projects\PytorchTest\casting_512x512\ok_front\cast_ok_0_3465.jpeg,good,train,,,,,no_detection,No inspected_object detection
C:\Python\Projects\PytorchTest\casting_512x512\ok_front\cast_ok_0_5536.jpeg,good,train,,,,,no_detection,No inspected_object detection
C:\Python\Projects\PytorchTest\casting_512x512\ok_front\cast_ok_0_5327.jpeg,good,train,,,,,no_detection,No inspected_object detection
C:\Python\Projects\PytorchTest\casting_512x512\ok_front\cast_ok_0_694.jpeg,good,train,,,,,no_detection,No inspected_object detection
C:\Python\Projects\PytorchTest\casting_512x512\ok_front\cast_ok_0_4639.jpeg,good,train,,,,,no_detection,No inspected_object detection
C:\Python\Projects\PytorchTest\casting_512x512\ok_front\cast_ok_0_6134.jpeg,good,train,,,,,no_detection,No inspected_object detection
C:\Python\Projects\PytorchTest\casting_512x512\ok_front\cast_ok_0_8601.jpeg,good,train,,,,,no_detection,No inspected_object detection
C:\Python\Projects\PytorchTest\casting_512x512\ok_front\cast_ok_0_1207.jpeg,good,train,,,,,no_detection,No inspected_object detection
C:\Python\Projects\PytorchTest\casting_512x512\ok_front\cast_ok_0_199.jpeg,good,train,,,,,no_detection,No inspected_object detection
C:\Python\Projects\PytorchTest\casting_512x512\ok_front\cast_ok_0_2288.jpeg,good,train,,,,,no_detection,No inspected_object detection
C:\Python\Projects\PytorchTest\casting_512x512\ok_front\cast_ok_0_5150.jpeg,good,train,,,,,no_detection,No inspected_object detection
C:\Python\Projects\PytorchTest\casting_512x512\ok_front\cast_ok_0_1715.jpeg,good,train,,,,,no_detection,No inspected_object detection
C:\Python\Projects\PytorchTest\casting_512x512\ok_front\cast_ok_0_4736.jpeg,good,train,,,,,no_detection,No inspected_object detection
C:\Python\Projects\PytorchTest\casting_512x512\ok_front\cast_ok_0_9191.jpeg,good,train,,,,,no_detection,No inspected_object detection
C:\Python\Projects\PytorchTest\casting_512x512\ok_front\cast_ok_0_7117.jpeg,good,train,,,,,no_detection,No inspected_object detection
C:\Python\Projects\PytorchTest\casting_512x512\ok_front\cast_ok_0_7519.jpeg,good,train,,,,,no_detection,No inspected_object detection
C:\Python\Projects\PytorchTest\casting_512x512\ok_front\cast_ok_0_4247.jpeg,good,train,,,,,no_detection,No inspected_object detection
C:\Python\Projects\PytorchTest\casting_512x512\ok_front\cast_ok_0_4081.jpeg,good,train,,,,,no_detection,No inspected_object detection
C:\Python\Projects\PytorchTest\casting_512x512\ok_front\cast_ok_0_766.jpeg,good,train,,,,,no_detection,No inspected_object detection
C:\Python\Projects\PytorchTest\casting_512x512\ok_front\cast_ok_0_7642.jpeg,good,train,,,,,no_detection,No inspected_object detection
C:\Python\Projects\PytorchTest\casting_512x512\ok_front\cast_ok_0_8646.jpeg,good,train,,,,,no_detection,No inspected_object detection
C:\Python\Projects\PytorchTest\casting_512x512\ok_front\cast_ok_0_4561.jpeg,good,train,,,,,no_detection,No inspected_object detection
C:\Python\Projects\PytorchTest\casting_512x512\ok_front\cast_ok_0_4503.jpeg,good,train,,,,,no_detection,No inspected_object detection
C:\Python\Projects\PytorchTest\casting_512x512\ok_front\cast_ok_0_5685.jpeg,good,train,,,,,no_detection,No inspected_object detection
C:\Python\Projects\PytorchTest\casting_512x512\ok_front\cast_ok_0_2695.jpeg,good,train,,,,,no_detection,No inspected_object detection
C:\Python\Projects\PytorchTest\casting_512x512\ok_front\cast_ok_0_6644.jpeg,good,train,,,,,no_detection,No inspected_object detection
C:\Python\Projects\PytorchTest\casting_512x512\ok_front\cast_ok_0_5625.jpeg,good,train,,,,,no_detection,No inspected_object detection
C:\Python\Projects\PytorchTest\casting_512x512\ok_front\cast_ok_0_477.jpeg,good,train,,,,,no_detection,No inspected_object detection
C:\Python\Projects\PytorchTest\casting_512x512\ok_front\cast_ok_0_5370.jpeg,good,train,,,,,no_detection,No inspected_object detection
